Fecha Local,Fecha UTC,Latitud,Longitud,Profundidad [Km],Magnitud,Referencia Geográfica
2022-01-18 07:18:30,2022-01-18 10:18:30,-22.803,-69.046,110.5,4.1 Ml, 30 km al E de Sierra Gorda.
2022-01-18 02:44:43,2022-01-18 05:44:43,-23.286,-68.582,106.6,3.2 Ml, 56 km al SO de San Pedro de Atacama
2022-01-17 12:30:16,2022-01-17 15:30:16,-22.194,-68.873,121.9,2.7 Ml, 31 km al N de Calama
2022-01-17 09:45:27,2022-01-17 12:45:27,-22.257,-67.795,189.6,3.3 Ml, 85 km al NE de San Pedro de Atacama
2022-01-16 12:09:05,2022-01-16 15:09:05,-22.119,-68.696,114.0,2.7 Ml, 46 km al NE de Calama
2022-01-16 11:50:04,2022-01-16 14:50:04,-22.243,-68.75,98.2,2.6 Ml, 31 km al NE de Calama
2022-01-16 10:36:34,2022-01-16 13:36:34,-23.441,-67.156,249.6,3.4 Ml, 77 km al E de Socaire
2022-01-16 08:55:30,2022-01-16 11:55:30,-24.424,-69.291,86.1,2.6 Ml, 29 km al SO de Mina La Escondida.
2022-01-16 04:22:12,2022-01-16 07:22:12,-22.178,-68.726,120.6,3.1 Ml, 39 km al NE de Calama
2022-01-15 18:20:10,2022-01-15 21:20:10,-24.37,-68.355,266.7,3.3 Ml, 72 km al E de Mina La Escondida.
2022-01-14 23:04:29,2022-01-15 02:04:29,-26.918,-71.192,29.3,3.2 Ml, 40 km al O de Caldera
2022-01-14 19:07:49,2022-01-14 22:07:49,-26.928,-71.201,36.1,3.3 Ml, 41 km al O de Caldera
2022-01-14 14:20:18,2022-01-14 17:20:18,-23.479,-70.855,27.1,3.5 Ml, 49 km al O de Antofagasta
2022-01-14 11:13:56,2022-01-14 14:13:56,-23.707,-68.157,129.5,3.0 Ml, 30 km al SO de Socaire
2022-01-14 09:44:42,2022-01-14 12:44:42,-24.155,-67.61,217.6,3.6 Ml, 69 km al SE de Socaire
2022-01-14 08:38:02,2022-01-14 11:38:02,-26.703,-71.195,36.6,3.0 Ml, 55 km al NO de Caldera
2022-01-14 08:24:28,2022-01-14 11:24:28,-23.405,-70.753,24.4,4.7 Mw, 44 km al NO de Antofagasta
2022-01-14 06:55:18,2022-01-14 09:55:18,-21.876,-68.7,110.3,2.9 Ml, 70 km al N de Calama
2022-01-14 04:00:16,2022-01-14 07:00:16,-26.825,-71.288,15.0,2.6 Ml, 53 km al NO de Caldera
2022-01-13 22:18:52,2022-01-14 01:18:52,-25.048,-68.688,124.6,3.8 Ml, 94 km al SE de Mina La Escondida.
2022-01-13 21:34:34,2022-01-14 00:34:34,-26.741,-71.301,25.1,2.8 Ml, 60 km al NO de Caldera
2022-01-13 20:28:42,2022-01-13 23:28:42,-23.282,-68.924,97.3,2.5 Ml, 58 km al SE de Sierra Gorda.
2022-01-14 08:24:23,2022-01-14 11:24:23,-23.516,-71.0,15.1,5.0 Ml, 62 km al O de Antofagasta
2022-01-13 15:52:41,2022-01-13 18:52:41,-24.447,-69.904,64.7,3.1 Ml, 88 km al O de Mina La Escondida.
2022-01-13 15:40:31,2022-01-13 18:40:31,-26.915,-71.186,30.8,3.0 Ml, 40 km al NO de Caldera
2022-01-13 15:27:46,2022-01-13 18:27:46,-23.155,-69.214,97.3,3.0 Ml, 30 km al S de Sierra Gorda.
2022-01-13 15:19:37,2022-01-13 18:19:37,-26.915,-71.221,27.7,5.0 Mw, 43 km al O de Caldera
2022-01-13 15:05:56,2022-01-13 18:05:56,-26.904,-71.252,23.9,2.9 Ml, 46 km al O de Caldera
2022-01-13 14:07:17,2022-01-13 17:07:17,-22.249,-68.629,126.0,2.9 Ml, 40 km al NE de Calama
2022-01-13 13:33:52,2022-01-13 16:33:52,-23.888,-68.834,110.0,2.9 Ml, 48 km al NE de Mina La Escondida.
2022-01-13 10:52:02,2022-01-13 13:52:02,-24.303,-67.443,208.3,4.3 Ml, 91 km al SE de Socaire
2022-01-13 10:19:44,2022-01-13 13:19:44,-22.528,-66.476,291.2,3.6 Ml, 182 km al E de San Pedro de Atacama
2022-01-13 09:10:44,2022-01-13 12:10:44,-22.252,-68.859,115.1,3.5 Ml, 25 km al N de Calama
2022-01-13 07:27:37,2022-01-13 10:27:37,-26.912,-71.262,27.9,2.5 Ml, 47 km al O de Caldera
2022-01-13 03:49:13,2022-01-13 06:49:13,-26.735,-70.979,25.1,3.0 Ml, 40 km al NO de Caldera
2022-01-13 03:45:09,2022-01-13 06:45:09,-23.514,-68.738,100.9,3.2 Ml, 86 km al SO de San Pedro de Atacama
2022-01-13 02:48:44,2022-01-13 05:48:44,-22.48,-68.84,113.2,3.6 Ml, 9 km al E de Calama
2022-01-13 01:13:46,2022-01-13 04:13:46,-22.989,-69.286,82.0,4.2 Ml, 10 km al S de Sierra Gorda.
2022-01-12 23:22:06,2022-01-13 02:22:06,-24.23,-67.484,211.9,3.1 Ml, 82 km al SE de Socaire
2022-01-12 18:33:16,2022-01-12 21:33:16,-22.27,-68.919,107.6,2.8 Ml, 22 km al N de Calama
2022-01-12 12:14:14,2022-01-12 15:14:14,-23.074,-67.121,254.3,3.3 Ml, 97 km al NE de Socaire
2022-01-12 09:27:56,2022-01-12 12:27:56,-26.772,-71.351,34.0,3.1 Ml, 62 km al NO de Caldera
2022-01-12 09:01:33,2022-01-12 12:01:33,-22.979,-68.121,138.4,3.1 Ml, 10 km al SE de San Pedro de Atacama
2022-01-12 07:48:54,2022-01-12 10:48:54,-24.088,-68.966,108.1,3.0 Ml, 22 km al NE de Mina La Escondida.
2022-01-12 07:39:31,2022-01-12 10:39:31,-23.018,-69.444,102.4,4.1 Ml, 18 km al SO de Sierra Gorda.
2022-01-12 04:06:33,2022-01-12 07:06:33,-23.996,-67.356,221.6,2.7 Ml, 71 km al SE de Socaire
2022-01-12 01:54:57,2022-01-12 04:54:57,-24.131,-67.382,235.0,3.4 Ml, 79 km al SE de Socaire
2022-01-12 07:39:31,2022-01-12 10:39:31,-23.118,-69.429,90.9,4.0 Ml, 27 km al SO de Sierra Gorda.
2022-01-11 23:11:59,2022-01-12 02:11:59,-22.758,-68.864,114.3,3.0 Ml, 33 km al S de Calama
2022-01-11 20:38:49,2022-01-11 23:38:49,-22.38,-67.869,190.9,2.9 Ml, 69 km al NE de San Pedro de Atacama
2022-01-11 19:54:01,2022-01-11 22:54:01,-22.288,-68.692,114.8,3.7 Ml, 32 km al NE de Calama
2022-01-11 19:46:47,2022-01-11 22:46:47,-24.085,-67.571,229.5,2.9 Ml, 64 km al SE de Socaire
2022-01-11 18:56:22,2022-01-11 21:56:22,-22.068,-68.725,105.1,2.7 Ml, 49 km al NE de Calama
2022-01-11 14:48:48,2022-01-11 17:48:48,-22.091,-68.558,123.9,2.9 Ml, 57 km al NE de Calama
2022-01-11 14:23:02,2022-01-11 17:23:02,-22.518,-67.873,187.4,2.8 Ml, 56 km al NE de San Pedro de Atacama
2022-01-11 12:18:28,2022-01-11 15:18:28,-24.078,-69.711,75.2,3.1 Ml, 70 km al O de Mina La Escondida.
2022-01-11 11:20:43,2022-01-11 14:20:43,-26.492,-71.209,29.0,2.7 Ml, 61 km al O de Chañaral.
2022-01-11 09:35:40,2022-01-11 12:35:40,-24.215,-67.532,224.1,4.5 Ml, 78 km al SE de Socaire
2022-01-11 03:00:08,2022-01-11 06:00:08,-23.936,-67.116,227.0,2.8 Ml, 88 km al SE de Socaire
2022-01-10 18:06:25,2022-01-10 21:06:25,-24.51,-67.26,217.1,2.9 Ml, 121 km al SE de Socaire
2022-01-10 15:48:24,2022-01-10 18:48:24,-21.797,-68.507,135.4,3.0 Ml, 69 km al SO de Ollagüe
2022-01-10 14:49:15,2022-01-10 17:49:15,-24.939,-69.313,123.7,3.1 Ml, 79 km al S de Mina La Escondida.
